FMTNAME,START,LABEL,city,state
I94PRTL,CNH,"CANNON CORNERS, NY",CANNON CORNERS, NY
I94PRTL,CNJ,"CAMDEN, NJ",CAMDEN, NJ
I94PRTL,COB,"COBURN GORE, ME",COBURN GORE, ME
I94PRTL,COL,"COLUMBUS, NM",COLUMBUS, NM
I94PRTL,COO,"COOS BAY, OR",COOS BAY, OR
I94PRTL,COS,"COLORADO SPRINGS, CO",COLORADO SPRINGS, CO
I94PRTL,CP,No PORT Code (CP),,
I94PRTL,CPX,No PORT Code (CPX),,
I94PRTL,CRA,"CRANE LAKE, MN",CRANE LAKE, MN
I94PRTL,CRB,"CARIBOU, ME",CARIBOU, ME
I94PRTL,CRL,"CARLSBAD, NM",CARLSBAD, NM
I94PRTL,CRP,"CORPUS CHRISTI, TX",CORPUS CHRISTI, TX
I94PRTL,CRQ,"CARAVELAS, BA #ARPT, BRAZIL",CARAVELAS, BA #ARPT
I94PRTL,CRU,"CRUZ BAY, ST JOHN, VI",CRUZ BAY, ST JOHN
I94PRTL,CRY,"CARBURY, ND",CARBURY, ND
I94PRTL,CSP,"CASPER, WY",CASPER, WY
I94PRTL,CTB,"CUT BANK MUNICIPAL, MT",CUT BANK MUNICIPAL, MT
I94PRTL,CUN,"CANCUN, MEXICO",CANCUN, MEXICO
I94PRTL,CUR,"CURLEW, WA (BPS)",CURLEW, WA (BPS)
I94PRTL,CUT,"CUT BANK, MT",CUT BANK, MT
I94PRTL,CXO,No PORT Code (CXO),,
I94PRTL,DAA,"DAVISON AAF - FAIRFAX CNTY, VA",DAVISON AAF - FAIRFAX CNTY, VA
I94PRTL,DAB,"DAYTONA BEACH INTERNATIONAL, FL",DAYTONA BEACH INTERNATIONAL, FL
I94PRTL,DAC,"DALTONS CACHE, AK",DALTONS CACHE, AK
I94PRTL,DAL,"DALLAS, TX",DALLAS, TX
I94PRTL,DAY,No PORT Code (DAY),,
I94PRTL,DEC,No PORT Code (DEC),,
I94PRTL,DEN,"DENVER, CO",DENVER, CO
I94PRTL,DER,"DERBY LINE, VT (I-91)",DERBY LINE, VT (I-91)
I94PRTL,DET,"DETROIT, MI",DETROIT, MI
I94PRTL,DLB,"DEL BONITA, MT",DEL BONITA, MT
I94PRTL,DLR,"DEL RIO, TX",DEL RIO, TX
I94PRTL,DLV,"DERBY LINE, VT (RT. 5)",DERBY LINE, VT (RT. 5)
I94PRTL,DNA,"DONNA, TX",DONNA, TX
I94PRTL,DNM,"DEMING, NM (BPS)",DEMING, NM (BPS)
I94PRTL,DNS,"DUNSEITH, ND",DUNSEITH, ND
I94PRTL,DOU,"DOUGLAS, AZ",DOUGLAS, AZ
I94PRTL,DOV,"DOVER AFB, DE",DOVER AFB, DE
I94PRTL,DPA,"DUPAGE COUNTY, IL",DUPAGE COUNTY, IL
I94PRTL,DRO,"LA PLATA - DURANGO, CO",LA PLATA - DURANGO, CO
I94PRTL,DRV,No PORT Code (DRV),,
I94PRTL,DSM,"DES MOINES, IA",DES MOINES, IA
I94PRTL,DTH,"DUTCH HARBOR, AK",DUTCH HARBOR, AK
I94PRTL,DUB,"DUBLIN, IRELAND",DUBLIN, IRELAND
I94PRTL,DUL,"DULUTH, MN",DULUTH, MN
I94PRTL,DUR,"LOUIS BOTHA, SOUTH AFRICA",LOUIS BOTHA, SOUTH AFRICA
I94PRTL,DVD,"DOVER-AFB, DE",DOVER-AFB, DE
I94PRTL,DVL,"DANVILLE, WA",DANVILLE, WA
I94PRTL,EDA,"EDMONTON, CANADA",EDMONTON, CANADA
I94PRTL,EGE,No PORT Code (EGE),,
I94PRTL,EGL,"EAGLE, AK",EAGLE, AK
I94PRTL,EGP,"EAGLE PASS, TX",EAGLE PASS, TX
