FMTNAME,START,LABEL
I94ADDRL,NH,NEW HAMPSHIRE
I94ADDRL,NJ,NEW JERSEY
I94ADDRL,NM,NEW MEXICO
I94ADDRL,NV,NEVADA
I94ADDRL,NY,NEW YORK
I94ADDRL,OH,OHIO
I94ADDRL,OK,OKLAHOMA
I94ADDRL,OR,OREGON
I94ADDRL,PA,PENNSYLVANIA
I94ADDRL,PR,PUERTO RICO
I94ADDRL,RI,RHODE ISLAND
I94ADDRL,SC,S. CAROLINA
I94ADDRL,SD,S. DAKOTA
I94ADDRL,TN,TENNESSEE
I94ADDRL,TX,TEXAS
I94ADDRL,UT,UTAH
I94ADDRL,VA,VIRGINIA
I94ADDRL,VI,VIRGIN ISLANDS
I94ADDRL,VT,VERMONT
I94ADDRL,WA,WASHINGTON
I94ADDRL,WI,WISCONSON
I94ADDRL,WV,W. VIRGINIA
I94ADDRL,WY,WYOMING
I94PRTL,.GA,No PORT Code (.GA)
I94PRTL,060,No PORT Code (60)
I94PRTL,48Y,"PINECREEK BORDER ARPT, MN"
I94PRTL,5KE,"KETCHIKAN, AK"
I94PRTL,5T6,No PORT Code (5T6)
I94PRTL,74S,No PORT Code (74S)
I94PRTL,888,UNIDENTIFED AIR / SEAPORT
I94PRTL,A2A,No PORT Code (A2A)
I94PRTL,ABE,"ABERDEEN, WA"
I94PRTL,ABG,"ALBURG, VT"
I94PRTL,ABQ,"ALBUQUERQUE, NM"
I94PRTL,ABS,"ALBURG SPRINGS, VT"
I94PRTL,ACY,"POMONA FIELD - ATLANTIC CITY, NJ"
I94PRTL,ADS,"ADDISON AIRPORT- ADDISON, TX"
I94PRTL,ADT,"AMISTAD DAM, TX"
I94PRTL,ADU,No PORT Code (ADU)
I94PRTL,ADW,"ANDREWS AFB, MD"
I94PRTL,AFW,"FORT WORTH ALLIANCE, TX"
I94PRTL,AG,No PORT Code (AG)
I94PRTL,AG0,"MAGNOLIA, AR"
I94PRTL,AGA,"AGANA, GU"
I94PRTL,AGM,"ALGOMA, WI"
I94PRTL,AGN,"ALGONAC, MI"
I94PRTL,AGS,"BUSH FIELD - AUGUSTA, GA"
I94PRTL,AGU,"AGUADILLA, PR"
I94PRTL,AKR,"AKRON, OH"
I94PRTL,AKT,No PORT Code (AKT)
I94PRTL,ALA,"ALAMAGORDO, NM (BPS)"
I94PRTL,ALB,"ALBANY, NY"
I94PRTL,ALC,"ALCAN, AK"
I94PRTL,ALP,"ALPENA, MI"
I94PRTL,AMB,"AMBROSE, ND"
I94PRTL,AMS,"AMSTERDAM-SCHIPHOL, NETHERLANDS"
I94PRTL,AMT,No PORT Code (AMT)
I94PRTL,ANA,"ANACORTES, WA"
I94PRTL,ANC,"ANCHORAGE, AK"
I94PRTL,AND,"ANDRADE, CA"
I94PRTL,ANP,"ANTELOPE WELLS, NM"
I94PRTL,ANT,"ANTLER, ND"
I94PRTL,ANZ,"ANZALDUAS, TX"
I94PRTL,APA,"ARAPAHOE COUNTY, CO"
I94PRTL,APF,"NAPLES, FL #ARPT"
I94PRTL,ARB,"ARUBA, NETH ANTILLES"
I94PRTL,ASE,"ASPEN, CO #ARPT"
I94PRTL,ASI,No PORT Code (ASI)
I94PRTL,AST,"ASTORIA, OR"
I94PRTL,ATB,"ASHTABULA, OH"
I94PRTL,ATL,"ATLANTA, GA"
I94PRTL,ATW,No PORT Code (ATW)
I94PRTL,AUH,No PORT Code (AUH)
I94PRTL,AUS,"AUSTIN, TX"
I94PRTL,AXB,"ALEXANDRIA BAY, NY"
I94PRTL,BAL,"BALTIMORE, MD"
I94PRTL,BAN,"BANKOK, THAILAND"
I94PRTL,BAR,"BAKER AAF - BAKER ISLAND, AK"
I94PRTL,BAU,"BAUDETTE, MN"
I94PRTL,BAY,"BAYFIELD, WI"
I94PRTL,BBP,"BIG BEND PARK, TX (BPS)"
I94PRTL,BCK,"BUCKPORT, ME"
I94PRTL,BCM,No PORT Code (BCM)
I94PRTL,BCY,"BAY CITY, MI"
I94PRTL,BDA,"KINDLEY FIELD, BERMUDA"
I94PRTL,BDL,"BRADLEY INTERNATIONAL, CT"
I94PRTL,BEA,"BEAUMONT, TX"
I94PRTL,BEB,"BEEBE PLAIN, VT"
I94PRTL,BED,"HANSCOM FIELD - BEDFORD, MA"
I94PRTL,BEE,"BEECHER FALLS, VT"
I94PRTL,BEI,"BEICA #ARPT, ETHIOPIA"
I94PRTL,BEL,"BELLINGHAM, WA"
I94PRTL,BFL,"MEADOWS FIELD - BAKERSFIELD, CA"
I94PRTL,BGC,"BRIDGEPORT, CT"
I94PRTL,BGM,"BANGOR, ME"
I94PRTL,BHM,"BAR HARBOR, ME"
I94PRTL,BHX,"BIRMINGHAM, AL"
I94PRTL,BIL,"BILLINGS, MT"
I94PRTL,BKF,No PORT Code (BKF)
I94PRTL,BLA,"BLAINE, WA"
I94PRTL,BLF,"MERCER COUNTY, WV"
I94PRTL,BLI,"BELLINGHAM, WASHINGTON #INTL"
I94PRTL,BLT,"PACIFIC, HWY. STATION, CA"
I94PRTL,BOA,"BRIDGE OF AMERICAS, TX"
I94PRTL,BOC,"BOCAGRANDE, FL"
I94PRTL,BOG,"BOGOTA, EL DORADO #ARPT, COLOMBIA"
I94PRTL,BOI,"AIR TERM. (GOWEN FLD) BOISE, ID"
I94PRTL,BOO,"BOOTHBAY HARBOR, ME"
I94PRTL,BOS,"BOSTON, MA"
I94PRTL,BQN,"BORINQUEN - AGUADILLO, PR"
I94PRTL,BRG,"BURLINGTON, VT"
I94PRTL,BRO,"BROWNSVILLE, TX"
I94PRTL,BRU,"BRUNSWICK, GA"
I94PRTL,BTC,"BP TACTICAL UNIT, TX"
I94PRTL,BTM,"BUTTE, MT"
I94PRTL,BTN,"BATON ROUGE, LA"
I94PRTL,BUF,"BUFFALO, NY"
I94PRTL,BUR,"BURBANK, CA"
I94PRTL,BUS,Collapsed (BUF) 06/15
I94PRTL,BWA,"BOUNDARY, WA"
I94PRTL,BWM,"BRIDGEWATER, ME"
I94PRTL,BYO,"BAYONNE, NJ"
I94PRTL,BZN,"GALLATIN FIELD - BOZEMAN, MT"
I94PRTL,CAE,"COLUMBIA, SC #ARPT"
I94PRTL,CAK,"AKRON, OH"
I94PRTL,CAL,"CALEXICO, CA"
I94PRTL,CAN,"CAPE CANAVERAL, FL"
I94PRTL,CAO,"CAMPO, CA"
I94PRTL,CAP,"CAPE VINCENT, NY"
I94PRTL,CAR,"CARIBOU MUNICIPAL AIRPORT, MN"
I94PRTL,CDD,"CRANE LAKE - ST. LOUIS CNTY, NM"
I94PRTL,CHA,"CHARLOTTE AMALIE, VI"
I94PRTL,CHF,"CHIEF MT, MT"
I94PRTL,CHI,"CHICAGO, IL"
I94PRTL,CHL,"CHARLESTON, SC"
I94PRTL,CHM,"CHAMPLAIN, NY"
I94PRTL,CHN,No PORT Code (CHN)
I94PRTL,CHO,"ALBEMARLE CHARLOTTESVILLE, VA"
I94PRTL,CHR,"CHRISTIANSTED, VI"
I94PRTL,CHS,"CHARLESTON, WV"
I94PRTL,CHT,"CHATEAUGAY, NY"
I94PRTL,CID,"CEDAR RAPIDS/IOWA CITY, IA"
I94PRTL,CIN,"CINCINNATI, OH"
I94PRTL,CLA,"CLAYTON, NY"
I94PRTL,CLE,"CLEVELAND, OH"
I94PRTL,CLG,"CALGARY, CANADA"
I94PRTL,CLK,"CLARKSBURG, WV"
I94PRTL,CLM,"COLUMBUS, OH"
I94PRTL,CLS,"CALAIS, ME"
I94PRTL,CLT,"CHARLOTTE, NC"
I94PRTL,CLX,No PORT Code (CLX)
I94PRTL,CNA,"CANAAN, VT"
I94PRTL,CNC,"CANNON CORNERS, NY"
I94PRTL,CND,"KOGALNICEANU, ROMANIA"
I94PRTL,CNH,"CANNON CORNERS, NY"
I94PRTL,CNJ,"CAMDEN, NJ"
I94PRTL,COB,"COBURN GORE, ME"
I94PRTL,COL,"COLUMBUS, NM"
I94PRTL,COO,"COOS BAY, OR"
I94PRTL,COS,"COLORADO SPRINGS, CO"
I94PRTL,CP,No PORT Code (CP)
I94PRTL,CPX,No PORT Code (CPX)
I94PRTL,CRA,"CRANE LAKE, MN"
I94PRTL,CRB,"CARIBOU, ME"
I94PRTL,CRL,"CARLSBAD, NM"
I94PRTL,CRP,"CORPUS CHRISTI, TX"
I94PRTL,CRQ,"CARAVELAS, BA #ARPT, BRAZIL"
I94PRTL,CRU,"CRUZ BAY, ST JOHN, VI"
I94PRTL,CRY,"CARBURY, ND"
I94PRTL,CSP,"CASPER, WY"
I94PRTL,CTB,"CUT BANK MUNICIPAL, MT"
I94PRTL,CUN,"CANCUN, MEXICO"
I94PRTL,CUR,"CURLEW, WA (BPS)"
I94PRTL,CUT,"CUT BANK, MT"
I94PRTL,CXO,No PORT Code (CXO)
I94PRTL,DAA,"DAVISON AAF - FAIRFAX CNTY, VA"
I94PRTL,DAB,"DAYTONA BEACH INTERNATIONAL, FL"
I94PRTL,DAC,"DALTONS CACHE, AK"
I94PRTL,DAL,"DALLAS, TX"
I94PRTL,DAY,No PORT Code (DAY)
I94PRTL,DEC,No PORT Code (DEC)
I94PRTL,DEN,"DENVER, CO"
I94PRTL,DER,"DERBY LINE, VT (I-91)"
I94PRTL,DET,"DETROIT, MI"
I94PRTL,DLB,"DEL BONITA, MT"
I94PRTL,DLR,"DEL RIO, TX"
I94PRTL,DLV,"DERBY LINE, VT (RT. 5)"
I94PRTL,DNA,"DONNA, TX"
I94PRTL,DNM,"DEMING, NM (BPS)"
I94PRTL,DNS,"DUNSEITH, ND"
I94PRTL,DOU,"DOUGLAS, AZ"
I94PRTL,DOV,"DOVER AFB, DE"
I94PRTL,DPA,"DUPAGE COUNTY, IL"
I94PRTL,DRO,"LA PLATA - DURANGO, CO"
I94PRTL,DRV,No PORT Code (DRV)
I94PRTL,DSM,"DES MOINES, IA"
I94PRTL,DTH,"DUTCH HARBOR, AK"
I94PRTL,DUB,"DUBLIN, IRELAND"
I94PRTL,DUL,"DULUTH, MN"
I94PRTL,DUR,"LOUIS BOTHA, SOUTH AFRICA"
I94PRTL,DVD,"DOVER-AFB, DE"
I94PRTL,DVL,"DANVILLE, WA"
I94PRTL,EDA,"EDMONTON, CANADA"
I94PRTL,EGE,No PORT Code (EGE)
I94PRTL,EGL,"EAGLE, AK"
I94PRTL,EGP,"EAGLE PASS, TX"
I94PRTL,ELM,"REGIONAL ARPT - HORSEHEAD, NY"
I94PRTL,ELP,"EL PASO, TX"
I94PRTL,ELY,"ELY, MN"
I94PRTL,ENS,"ENSENADA, PR"
I94PRTL,EPI,"EASTPORT, ID"
I94PRTL,EPM,"EASTPORT, ME"
I94PRTL,EPT,"EASTPORT MUNICIPAL, ME"
I94PRTL,ERC,"EAST RICHFORD, VT"
I94PRTL,ERI,"ERIE, PA"
I94PRTL,EST,"EASTCOURT, ME"
I94PRTL,EUR,"EUREKA, MT (BPS)"
I94PRTL,EVE,"EVERETT, WA"
I94PRTL,EZE,"BUENOS AIRES, MINISTRO PIST, ARGENTINA"
I94PRTL,FAB,"FABENS, TX"
I94PRTL,FAJ,"FAJARDO, PR"
I94PRTL,FAL,"FALCON HEIGHTS, TX"
I94PRTL,FAR,"FARGO, ND"
I94PRTL,FAY,"FAYETTEVILLE, NC"
I94PRTL,FBA,"FREEPORT, BAHAMAS"
I94PRTL,FCA,"GLACIER NATIONAL PARK, MT"
I94PRTL,FER,"FERRY, WA"
I94PRTL,FLX,"FALLON MUNICIPAL AIRPORT, NV"
I94PRTL,FMY,"FORT MYERS, FL"
I94PRTL,FOK,"SUFFOLK COUNTY, NY"
I94PRTL,FOP,"MORRIS FIELDS AAF, NC"
I94PRTL,FOR,"FOREST CITY, ME"
I94PRTL,FOU,"FOUGAMOU #ARPT, GABON"
I94PRTL,FPF,"FORT PIERCE, FL"
I94PRTL,FPR,"ST LUCIE COUNTY, FL"
I94PRTL,FPT,"FREEPORT, TX"
I94PRTL,FRB,"FAIRBANKS, AK"
I94PRTL,FRE,"FRESNO, CA"
I94PRTL,FRG,Collapsed (FOK) 06/15
I94PRTL,FRI,"FRIDAY HARBOR, WA"
I94PRTL,FRK,"FREDERIKSTED, VI"
I94PRTL,FRN,"FERNANDINA, FL"
I94PRTL,FRT,"FORTUNA, ND"
I94PRTL,FSC,No PORT Code (FSC)
I94PRTL,FTB,No PORT Code (FTB)
I94PRTL,FTC,"FORT COVINGTON, NY"
I94PRTL,FTF,"FORT FAIRFIELD, ME"
I94PRTL,FTH,"FORT HANCOCK, TX"
I94PRTL,FTK,"FORT KENT, ME"
I94PRTL,FTL,"FORT LAUDERDALE, FL"
I94PRTL,FWA,"FRONTIER, WA"
I94PRTL,GAC,No PORT Code (GAC)
I94PRTL,GAL,"GALVESTON, TX"
I94PRTL,GAR,"GARY, IN"
I94PRTL,GCM,"GRAND CAYMAN, CAYMAN ISLAND"
I94PRTL,GDL,"GUADALAJARA, MIGUEL HIDAL, MX"
I94PRTL,GEO,"GEORGETOWN, SC"
I94PRTL,GGW,"GLASGOW, MT"
I94PRTL,GLO,"GLOUCESTER, MA"
I94PRTL,GMT,No PORT Code (GMT)
I94PRTL,GNV,"J R ALISON MUNI - GAINESVILLE, FL"
I94PRTL,GPI,No PORT Code (GPI)
I94PRTL,GPM,"GRAND PORTAGE, MN"
I94PRTL,GPT,"BILOXI REGIONAL, MS"
I94PRTL,GRB,"GREEN BAY, WI"
I94PRTL,GRE,"GREAT FALLS, MT"
I94PRTL,GRF,"GRAND FORKS, ND"
I94PRTL,GRO,"GROSSE ISLE, MI"
I94PRTL,GRP,"GRAND RAPIDS, MI"
I94PRTL,GRR,"GREER, SC"
I94PRTL,GRT,"GROTON, CT"
I94PRTL,GRU,"GUARULHOS INTL, SAO PAULO, BRAZIL"
I94PRTL,GSO,"PIEDMONT TRIAD INTL AIRPORT, NC"
I94PRTL,GSP,"GREENVILLE, SC"
I94PRTL,GTF,"Collapsed into INT, MN"
I94PRTL,GTR,"GOLDEN TRIANGLE LOWNDES CNTY, MS"
I94PRTL,GUL,"GULFPORT, MS"
I94PRTL,HAL,"Halifax, NS, Canada"
I94PRTL,HAM,"HAMILTON, BERMUDA"
I94PRTL,HAR,"HARTFORD, CT"
I94PRTL,HEF,"MANASSAS, VA #ARPT"
I94PRTL,HEL,"HELENA, MT"
I94PRTL,HHW,"HONOLULU, HI"
I94PRTL,HID,"HIDALGO, TX"
I94PRTL,HIG,"HIGHGATE SPRINGS, VT"
I94PRTL,HIL,"SHILLAVO, ETHIOPIA"
I94PRTL,HIO,"HILLSBORO, OR"
I94PRTL,HLG,"HARLINGEN, TX"
I94PRTL,HML,"HAMIIN, ME"
I94PRTL,HMM,"HAMMOND, IN"
I94PRTL,HMO,"GEN PESQUEIRA GARCIA, MX"
I94PRTL,HNN,"HANNAH, ND"
I94PRTL,HNS,"HANSBORO, ND"
I94PRTL,HOB,"HOBOKEN, NJ"
I94PRTL,HOM,"HOMER, AK"
